-0.0239,14.96587,139.212
-0.01466,14.9786,133.028
-0.01462,14.98009,139.903
-0.02157,14.9698,136.58
-0.01781,14.97086,136.77
-0.02765,14.9648,135.521
-0.01791,14.96637,134.084
-0.02173,14.96231,130.567
-0.02316,14.96518,134.774
-0.0352,14.96118,137.561
-0.01645,14.965,131.117
0.00014,14.97237,136.401
-0.009,14.96413,132.627
-0.01858,14.97005,135.264
-0.04254,14.96654,132.269
-0.04553,14.96629,133.266
-0.03879,14.9676,139.08
-0.03729,14.96773,136.873
-0.04101,14.96816,130.59
-0.03729,14.96773,132.018
-0.00435,14.97199,139.371
-0.0096,14.9708,139.589
-0.01263,14.96905,132.626
-0.0096,14.9708,133.48
-0.00448,14.966,138.218
-0.03071,14.96156,133.772
-0.02705,14.95813,134.398
-0.02253,14.96,133.049
-0.00066,14.97006,131.213
-0.01123,14.96469,137.861
-0.01495,14.96512,136.824
-0.03001,14.95937,136.369
-0.02173,14.96231,134.021
-0.02483,14.95757,137.831
-0.02406,14.95838,136.99
-0.02775,14.96031,135.695
-0.02855,14.958,137.23
-0.0338,14.95681,134.831
-0.02559,14.95676,137.006
-0.03074,14.96006,131.196
-0.03456,14.956,131.671
-0.03011,14.95488,135.616
-0.02921,14.96168,130.045
-0.0232,14.96368,135.292
-0.01346,14.96525,134.085
-0.02024,14.96244,132.529
-0.02473,14.96206,134.602
-0.01874,14.96256,131.114
-0.01495,14.96512,139.094
-0.02399,14.96137,136.433
-0.01266,14.96756,134.847
0.0,14.96638,139.773
-0.00219,14.96844,138.994
-0.00069,14.96856,137.722
-0.00219,14.96844,138.816
-0.00442,14.969,137.238
-0.02313,14.96668,134.405
-0.00222,14.96694,130.652
-0.02469,14.96356,134.512
