Lat, Lon, HDT, indicator, p_n, t_n
25.01292605,121.54096830,43.66300000,4.00000000,1.00000000,0.00000000
25.01292604,121.54096830,44.50600000,4.00000000,1.00000000,0.00000000
25.01292606,121.54096830,45.99300000,4.00000000,1.00000000,0.00000000
25.01292608,121.54096820,45.54900000,4.00000000,1.00000000,0.00000000
25.01292609,121.54096830,45.03100000,4.00000000,1.00000000,0.00000000
25.01292603,121.54096830,44.53600000,4.00000000,1.00000000,0.00000000
25.01292608,121.54096830,46.27400000,4.00000000,1.00000000,0.00000000
25.01292603,121.54096830,44.60600000,4.00000000,1.00000000,0.00000000
25.01292605,121.54096830,43.61300000,4.00000000,1.00000000,0.00000000
25.01292602,121.54096830,46.38300000,4.00000000,1.00000000,0.00000000
25.01292601,121.54096830,43.78800000,4.00000000,1.00000000,0.00000000
25.01292606,121.54096830,44.50200000,4.00000000,1.00000000,0.00000000
25.01292604,121.54096820,44.82600000,4.00000000,1.00000000,0.00000000
25.01292601,121.54096830,44.53100000,4.00000000,1.00000000,0.00000000
25.01292601,121.54096830,44.23300000,4.00000000,1.00000000,0.00000000
25.01292610,121.54096830,45.74800000,4.00000000,1.00000000,0.00000000
25.01292606,121.54096830,45.52400000,4.00000000,1.00000000,0.00000000
25.01292607,121.54096830,44.13700000,4.00000000,1.00000000,0.00000000
25.01292607,121.54096830,43.51200000,4.00000000,1.00000000,0.00000000
25.01292610,121.54096830,45.78200000,4.00000000,1.00000000,0.00000000
25.01292609,121.54096830,46.17700000,4.00000000,1.00000000,0.00000000
25.01292607,121.54096830,44.63900000,4.00000000,1.00000000,0.00000000
25.01292608,121.54096830,43.88100000,4.00000000,1.00000000,0.00000000
25.01292606,121.54096830,45.53900000,4.00000000,1.00000000,0.00000000
25.01292607,121.54096830,44.23600000,4.00000000,1.00000000,0.00000000
25.01292604,121.54096830,45.86000000,4.00000000,1.00000000,0.00000000
25.01292605,121.54096830,45.55700000,4.00000000,1.00000000,0.00000000
25.01292610,121.54096830,46.00200000,4.00000000,1.00000000,0.00000000
25.01292610,121.54096830,45.44300000,4.00000000,1.00000000,0.00000000
25.01292613,121.54096830,44.10100000,4.00000000,1.00000000,0.00000000
25.01292616,121.54096830,46.14600000,4.00000000,1.00000000,0.00000000
25.01292613,121.54096830,44.91000000,4.00000000,1.00000000,0.00000000
25.01292610,121.54096830,45.92900000,4.00000000,1.00000000,0.00000000
25.01292609,121.54096830,46.35000000,4.00000000,1.00000000,0.00000000
25.01292613,121.54096830,46.48500000,4.00000000,1.00000000,0.00000000
25.01292610,121.54096830,45.59400000,4.00000000,1.00000000,0.00000000
25.01292609,121.54096830,46.10200000,4.00000000,1.00000000,0.00000000
25.01292608,121.54096830,44.09200000,4.00000000,1.00000000,0.00000000
25.01292611,121.54096830,45.89600000,4.00000000,1.00000000,0.00000000
25.01292610,121.54096830,45.43500000,4.00000000,1.00000000,0.00000000
25.01292609,121.54096830,44.38600000,4.00000000,1.00000000,0.00000000
25.01292609,121.54096830,45.12700000,4.00000000,1.00000000,0.00000000
25.01292608,121.54096830,44.54100000,4.00000000,1.00000000,0.00000000
25.01292612,121.54096830,44.13900000,4.00000000,1.00000000,0.00000000
25.01292613,121.54096830,44.06300000,4.00000000,1.00000000,0.00000000
25.01292600,121.54096840,45.70000000,4.00000000,1.00000000,0.00000000
25.01292603,121.54096830,46.14900000,4.00000000,1.00000000,0.00000000
25.01292597,121.54096830,44.13000000,4.00000000,1.00000000,0.00000000
25.01292603,121.54096820,46.14900000,4.00000000,1.00000000,0.00000000
25.01292608,121.54096820,45.23300000,4.00000000,1.00000000,0.00000000
25.01292543,121.54096580,359.62100000,2.00000000,1.00000000,45.00000000
25.01292533,121.54096570,359.58000000,2.00000000,1.00000000,45.00000000
25.01292523,121.54096560,358.65100000,2.00000000,1.00000000,45.00000000
25.01292513,121.54096540,358.96000000,2.00000000,1.00000000,45.00000000
25.01292503,121.54096510,0.88800000,2.00000000,1.00000000,45.00000000
25.01292513,121.54096460,0.49300000,2.00000000,1.00000000,45.00000000
25.01292503,121.54096450,358.73900000,2.00000000,1.00000000,45.00000000
25.01292503,121.54096440,0.67100000,2.00000000,1.00000000,45.00000000
25.01292493,121.54096420,358.83400000,2.00000000,1.00000000,45.00000000
25.01292483,121.54096410,359.61500000,2.00000000,1.00000000,45.00000000
25.01292473,121.54096390,0.09000000,2.00000000,1.00000000,45.00000000
25.01292473,121.54096390,358.56200000,2.00000000,1.00000000,45.00000000
25.01292463,121.54096380,0.11100000,2.00000000,1.00000000,45.00000000
25.01292453,121.54096380,0.15600000,2.00000000,1.00000000,45.00000000
25.01292443,121.54096360,1.46000000,2.00000000,1.00000000,45.00000000
25.01292443,121.54096360,359.61200000,2.00000000,1.00000000,45.00000000
25.01292443,121.54096360,0.03000000,2.00000000,1.00000000,45.00000000
25.01292433,121.54096360,0.53000000,2.00000000,1.00000000,45.00000000
25.01292433,121.54096360,1.13700000,2.00000000,1.00000000,45.00000000
25.01292423,121.54096350,0.25500000,2.00000000,1.00000000,45.00000000
25.01292423,121.54096350,1.45900000,2.00000000,1.00000000,45.00000000
25.01292423,121.54096350,1.07600000,2.00000000,1.00000000,45.00000000
25.01292423,121.54096360,1.37500000,2.00000000,1.00000000,45.00000000
25.01292413,121.54096370,359.87800000,2.00000000,1.00000000,45.00000000
25.01292413,121.54096380,0.46200000,2.00000000,1.00000000,45.00000000
25.01292613,121.54096840,359.02800000,4.00000000,1.00000000,45.00000000
25.01292615,121.54096830,359.31800000,4.00000000,1.00000000,45.00000000
25.01292614,121.54096840,1.00400000,4.00000000,1.00000000,45.00000000
25.01292615,121.54096830,1.17800000,4.00000000,1.00000000,45.00000000
25.01292616,121.54096830,358.98400000,4.00000000,1.00000000,45.00000000
25.01292616,121.54096830,0.32400000,4.00000000,1.00000000,45.00000000
25.01292614,121.54096830,1.48500000,4.00000000,1.00000000,45.00000000
25.01292617,121.54096830,359.13200000,4.00000000,1.00000000,45.00000000
25.01292614,121.54096830,1.21700000,4.00000000,1.00000000,45.00000000
25.01292614,121.54096850,0.60700000,2.00000000,1.00000000,45.00000000
25.01292604,121.54096860,1.48900000,2.00000000,1.00000000,45.00000000
25.01292604,121.54096870,1.26800000,2.00000000,1.00000000,45.00000000
25.01292594,121.54096890,359.50800000,2.00000000,1.00000000,45.00000000
25.01292584,121.54096900,0.61300000,2.00000000,1.00000000,45.00000000
25.01292594,121.54096920,358.97200000,2.00000000,1.00000000,45.00000000
25.01292615,121.54096830,1.00300000,4.00000000,1.00000000,45.00000000
25.01292609,121.54096830,0.50600000,4.00000000,1.00000000,45.00000000
25.01292612,121.54096830,359.03800000,4.00000000,1.00000000,45.00000000
25.01292614,121.54096830,358.57500000,4.00000000,1.00000000,45.00000000
25.01292616,121.54096830,1.15100000,4.00000000,1.00000000,45.00000000
25.01292615,121.54096830,359.00800000,4.00000000,1.00000000,45.00000000
25.01292613,121.54096830,359.48100000,4.00000000,1.00000000,45.00000000
25.01292613,121.54096830,0.95200000,4.00000000,1.00000000,45.00000000
25.01292616,121.54096830,0.80400000,4.00000000,1.00000000,45.00000000
25.01292616,121.54096830,359.89200000,4.00000000,1.00000000,45.00000000
25.01292618,121.54096830,359.84500000,4.00000000,1.00000000,45.00000000
25.01292443,121.54096720,316.37800000,2.00000000,1.00000000,90.00000000
25.01292433,121.54096720,314.07600000,2.00000000,1.00000000,90.00000000
25.01292433,121.54096710,314.22900000,2.00000000,1.00000000,90.00000000
25.01292423,121.54096710,314.46900000,2.00000000,1.00000000,90.00000000
25.01292413,121.54096720,313.61900000,2.00000000,1.00000000,90.00000000
25.01292413,121.54096720,314.20600000,2.00000000,1.00000000,90.00000000
25.01292413,121.54096710,313.99500000,2.00000000,1.00000000,90.00000000
