X, Y, Lat, Lon, HDT, indicator, p_n, t_n
-0.35970000,0.17377000,25.01292503,121.54096450,0.38400000,2.00000000,1.00000000,0.00000000
-0.36702000,0.18062000,25.01292503,121.54096440,359.47100000,2.00000000,1.00000000,0.00000000
-0.38929000,0.18623000,25.01292493,121.54096420,359.39500000,2.00000000,1.00000000,0.00000000
-0.40424000,0.18497000,25.01292483,121.54096410,0.09000000,2.00000000,1.00000000,0.00000000
-0.42651000,0.19057000,25.01292473,121.54096390,359.19800000,2.00000000,1.00000000,0.00000000
-0.42651000,0.19057000,25.01292473,121.54096390,359.99500000,2.00000000,1.00000000,0.00000000
-0.44147000,0.18931000,25.01292463,121.54096380,359.48700000,2.00000000,1.00000000,0.00000000
-0.44912000,0.18120000,25.01292453,121.54096380,359.00600000,2.00000000,1.00000000,0.00000000
-0.47139000,0.18680000,25.01292443,121.54096360,0.69100000,2.00000000,1.00000000,0.00000000
-0.47139000,0.18680000,25.01292443,121.54096360,359.29600000,2.00000000,1.00000000,0.00000000
-0.47139000,0.18680000,25.01292443,121.54096360,359.01500000,2.00000000,1.00000000,0.00000000
-0.47903000,0.17869000,25.01292433,121.54096360,359.04500000,2.00000000,1.00000000,0.00000000
-0.47903000,0.17869000,25.01292433,121.54096360,0.58000000,2.00000000,1.00000000,0.00000000
-0.49399000,0.17743000,25.01292423,121.54096350,359.54800000,2.00000000,1.00000000,0.00000000
-0.49399000,0.17743000,25.01292423,121.54096350,359.36200000,2.00000000,1.00000000,0.00000000
-0.49399000,0.17743000,25.01292423,121.54096350,1.16500000,2.00000000,1.00000000,0.00000000
-0.48668000,0.17058000,25.01292423,121.54096360,359.62900000,2.00000000,1.00000000,0.00000000
-0.48701000,0.15560000,25.01292413,121.54096370,0.33800000,2.00000000,1.00000000,0.00000000
-0.47969000,0.14875000,25.01292413,121.54096380,359.18300000,2.00000000,1.00000000,0.00000000
0.00961000,-0.00442000,25.01292613,121.54096840,0.42300000,4.00000000,1.00000000,0.00000000
0.00382000,0.00406000,25.01292615,121.54096830,0.76600000,4.00000000,1.00000000,0.00000000
0.01037000,-0.00361000,25.01292614,121.54096840,0.91800000,4.00000000,1.00000000,0.00000000
0.00382000,0.00406000,25.01292615,121.54096830,0.39800000,4.00000000,1.00000000,0.00000000
0.00459000,0.00487000,25.01292616,121.54096830,0.37400000,4.00000000,1.00000000,0.00000000
0.00459000,0.00487000,25.01292616,121.54096830,359.47600000,4.00000000,1.00000000,0.00000000
0.00306000,0.00325000,25.01292614,121.54096830,1.21100000,4.00000000,1.00000000,0.00000000
0.00535000,0.00568000,25.01292617,121.54096830,358.78800000,4.00000000,1.00000000,0.00000000
0.00306000,0.00325000,25.01292614,121.54096830,1.22700000,4.00000000,1.00000000,0.00000000
0.01768000,-0.01047000,25.01292614,121.54096850,0.85800000,2.00000000,1.00000000,0.00000000
0.01735000,-0.02544000,25.01292604,121.54096860,0.05500000,2.00000000,1.00000000,0.00000000
0.02467000,-0.03230000,25.01292604,121.54096870,1.27300000,2.00000000,1.00000000,0.00000000
0.03165000,-0.05413000,25.01292594,121.54096890,0.01100000,2.00000000,1.00000000,0.00000000
0.03132000,-0.06910000,25.01292584,121.54096900,359.14900000,2.00000000,1.00000000,0.00000000
0.05359000,-0.07470000,25.01292594,121.54096920,358.82200000,2.00000000,1.00000000,0.00000000
0.00382000,0.00406000,25.01292615,121.54096830,0.41500000,4.00000000,1.00000000,0.00000000
-0.00076000,-0.00081000,25.01292609,121.54096830,0.97800000,4.00000000,1.00000000,0.00000000
0.00153000,0.00162000,25.01292612,121.54096830,358.82900000,4.00000000,1.00000000,0.00000000
0.00306000,0.00325000,25.01292614,121.54096830,0.16500000,4.00000000,1.00000000,0.00000000
0.00459000,0.00487000,25.01292616,121.54096830,359.49700000,4.00000000,1.00000000,0.00000000
0.00382000,0.00406000,25.01292615,121.54096830,359.52900000,4.00000000,1.00000000,0.00000000
0.00229000,0.00243000,25.01292613,121.54096830,359.80900000,4.00000000,1.00000000,0.00000000
0.00229000,0.00243000,25.01292613,121.54096830,359.04200000,4.00000000,1.00000000,0.00000000
0.00459000,0.00487000,25.01292616,121.54096830,359.83500000,4.00000000,1.00000000,0.00000000
0.00459000,0.00487000,25.01292616,121.54096830,359.18100000,4.00000000,1.00000000,0.00000000
0.00612000,0.00649000,25.01292618,121.54096830,359.54700000,4.00000000,1.00000000,0.00000000
-0.20811000,-0.06007000,25.01292443,121.54096720,315.21900000,2.00000000,1.00000000,315.00000000
-0.21575000,-0.06818000,25.01292433,121.54096720,315.25200000,2.00000000,1.00000000,315.00000000
-0.22306000,-0.06132000,25.01292433,121.54096710,314.07300000,2.00000000,1.00000000,315.00000000
-0.23071000,-0.06943000,25.01292423,121.54096710,314.83500000,2.00000000,1.00000000,315.00000000
-0.23104000,-0.08441000,25.01292413,121.54096720,315.98200000,2.00000000,1.00000000,315.00000000
